"modelo","especificacion","metodo","k","cod_mun","Municipio","directo","varianza","base","robusto","dif_pp"
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19397","La Vega",0.527577733005663,0.0125741189862332,0.410509919212882,0.415443353860669,0.4933
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19418","López de Micay",0.67339111537938,0.0143155329906009,0.685455244503496,0.688908885849828,0.3454
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19450","Mercaderes",0.507048831931205,0.0109386268959071,0.382098323994868,0.402460941160298,2.0363
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19455","Miranda",0.198653480586513,0.00112773336633902,0.194389568883542,0.19392348665047,-0.0466
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19473","Morales",0.524107460035218,0.0126976470575373,0.532498397289991,0.528876192704129,-0.3622
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19513","Padilla",0.378594269667572,0.0069961523472339,0.35479799326086,0.358279810728115,0.3482
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19517","Páez",0.557053293913796,0.0053456226555541,0.54000259546833,0.539753313536861,-0.0249
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19532","Patía",0.427856368967543,0.00315958697715313,0.390088326143718,0.388574801701003,-0.1514
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19533","Piamonte",0.457677045801199,0.0112521525110129,0.459773382874187,0.462224265089911,0.2451
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19548","Piendamó - Tunía",0.347038916776648,0.00201667209285544,0.347688563604107,0.346066656207635,-0.1622
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19573","Puerto Tejada",0.245146463189562,0.000992568436275446,0.24218947832457,0.24241450538488,0.0225
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19585","Puracé",0.415306428882595,0.00843468270525024,0.423914120321809,0.424837286775462,0.0923
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19622","Rosas",0.449638514692912,0.0103301234401187,0.409873894373731,0.407897383516021,-0.1977
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19693","San Sebastián",0.408009756402383,0.00723532854787553,0.44178089605887,0.446291974680818,0.4511
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19698","Santander de Quilichao",0.247097867528779,0.000689930195817516,0.269214248935893,0.270396404541478,0.1182
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19701","Santa Rosa",0.518069808102902,0.0142491615504312,0.538992934800487,0.544382781409825,0.539
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19743","Silvia",0.594548828166253,0.00333964903159028,0.544738681612599,0.542404840428255,-0.2334
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19760","Sotará Paispamba",0.42363483052891,0.00634684511328491,0.399614017643909,0.39785470579595,-0.1759
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19780","Suárez",0.420860918532776,0.00705583094519923,0.393288471625035,0.392066747068996,-0.1222
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19785","Sucre",0.592260763101386,0.0206325953688744,0.469229104032528,0.470838156370765,0.1609
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19807","Timbío",0.485298379279879,0.00473713082825383,0.367255308869963,0.416471561626774,4.9216
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19809","Timbiquí",0.509420099635651,0.00492167974240239,0.520111888434473,0.521419504314667,0.1308
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19821","Toribío",0.551408859073775,0.0139003790075414,0.529112086767723,0.53037050049424,0.1258
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19824","Totoró",0.590158497641813,0.0145050802266012,0.481190572932265,0.479026092329124,-0.2164
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19845","Villa Rica",0.286909792264029,0.00123277979799329,0.284703084135556,0.284469821860108,-0.0233
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76001","Cali",0.236000150623116,4.46101358273742e-05,0.236335195349182,0.236289995886201,-0.0045
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76020","Alcalá",0.324586690009205,0.00546291475418344,0.327817321354167,0.327695162838506,-0.0122
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76036","Andalucía",0.170872931834585,0.001094737354784,0.192087500502199,0.190879041743505,-0.1208
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76041","Ansermanuevo",0.311294220007976,0.00319417558067191,0.307074405546196,0.308180981141617,0.1107
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76054","Argelia",0.346746769918103,0.00448134976418645,0.471868444156313,0.413689654261299,-5.8179
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76100","Bolívar",0.191834135533459,0.000432069231682328,0.204669931393314,0.206950948808712,0.2281
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76109","Buenaventura",0.583063980603387,0.00157416229340437,0.536404311894824,0.543388266452229,0.6984
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76111","Guadalajara de Buga",0.171840563775675,0.000382966603773313,0.182729402445742,0.1838605269369,0.1131
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76113","Bugalagrande",0.166316423809804,0.000889434270094062,0.157278666692859,0.15667188447767,-0.0607
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76122","Caicedonia",0.374839473966334,0.000940890375175486,0.34702700563941,0.344598140417307,-0.2429
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76126","Calima",0.198650799132813,0.00131464467481034,0.217415409333711,0.216407981326182,-0.1007
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76130","Candelaria",0.0843703325877526,0.000308681553642066,0.0779023352697234,0.0783998100291675,0.0497
"M2_reblupbc_1.345","M2","reblupbc",1.345,"76147","Cartago",0.293248262981083,0.00135329212623361,0.289136982253127,0.289296587093731,0.016
